#,Trap,Insect,Week Number,Year,Total,Trap Operating Days
1,Rothamsted,Metopolophium dirhodum,11,1990,2,365
2,Rothamsted,Metopolophium dirhodum,17,1990,1,365
3,Rothamsted,Metopolophium dirhodum,18,1990,9,365
4,Rothamsted,Metopolophium dirhodum,19,1990,19,365
5,Rothamsted,Metopolophium dirhodum,20,1990,17,365
6,Rothamsted,Metopolophium dirhodum,21,1990,25,365
7,Rothamsted,Metopolophium dirhodum,22,1990,49,365
8,Rothamsted,Metopolophium dirhodum,23,1990,67,365
9,Rothamsted,Metopolophium dirhodum,24,1990,321,365
10,Rothamsted,Metopolophium dirhodum,25,1990,32,365
11,Rothamsted,Metopolophium dirhodum,26,1990,13,365
12,Rothamsted,Metopolophium dirhodum,27,1990,8,365
13,Rothamsted,Metopolophium dirhodum,28,1990,1,365
14,Rothamsted,Metopolophium dirhodum,29,1990,11,365
15,Rothamsted,Metopolophium dirhodum,30,1990,2,365
16,Rothamsted,Metopolophium dirhodum,31,1990,2,365
17,Rothamsted,Metopolophium dirhodum,19,1991,1,365
18,Rothamsted,Metopolophium dirhodum,22,1991,1,365
19,Rothamsted,Metopolophium dirhodum,24,1991,7,365
20,Rothamsted,Metopolophium dirhodum,25,1991,8,365
21,Rothamsted,Metopolophium dirhodum,26,1991,91,365
22,Rothamsted,Metopolophium dirhodum,27,1991,87,365
23,Rothamsted,Metopolophium dirhodum,28,1991,102,365
24,Rothamsted,Metopolophium dirhodum,29,1991,89,365
25,Rothamsted,Metopolophium dirhodum,30,1991,8,365
26,Rothamsted,Metopolophium dirhodum,31,1991,14,365
27,Rothamsted,Metopolophium dirhodum,32,1991,2,365
28,Rothamsted,Metopolophium dirhodum,33,1991,1,365
29,Rothamsted,Metopolophium dirhodum,40,1991,2,365
30,Rothamsted,Metopolophium dirhodum,41,1991,2,365
31,Rothamsted,Metopolophium dirhodum,14,1992,4,366
32,Rothamsted,Metopolophium dirhodum,20,1992,2,366
33,Rothamsted,Metopolophium dirhodum,21,1992,9,366
34,Rothamsted,Metopolophium dirhodum,22,1992,37,366
35,Rothamsted,Metopolophium dirhodum,23,1992,121,366
36,Rothamsted,Metopolophium dirhodum,24,1992,176,366
37,Rothamsted,Metopolophium dirhodum,25,1992,1026,366
38,Rothamsted,Metopolophium dirhodum,26,1992,2277,366
39,Rothamsted,Metopolophium dirhodum,27,1992,1010,366
40,Rothamsted,Metopolophium dirhodum,28,1992,104,366
41,Rothamsted,Metopolophium dirhodum,29,1992,8,366
42,Rothamsted,Metopolophium dirhodum,30,1992,1,366
43,Rothamsted,Metopolophium dirhodum,15,1993,1,365
44,Rothamsted,Metopolophium dirhodum,16,1993,3,365
45,Rothamsted,Metopolophium dirhodum,19,1993,1,365
46,Rothamsted,Metopolophium dirhodum,20,1993,4,365
47,Rothamsted,Metopolophium dirhodum,22,1993,46,365
48,Rothamsted,Metopolophium dirhodum,23,1993,44,365
49,Rothamsted,Metopolophium dirhodum,24,1993,18,365
50,Rothamsted,Metopolophium dirhodum,25,1993,45,365
51,Rothamsted,Metopolophium dirhodum,26,1993,50,365
52,Rothamsted,Metopolophium dirhodum,27,1993,22,365
53,Rothamsted,Metopolophium dirhodum,28,1993,25,365
54,Rothamsted,Metopolophium dirhodum,29,1993,100,365
55,Rothamsted,Metopolophium dirhodum,30,1993,16,365
56,Rothamsted,Metopolophium dirhodum,31,1993,6,365
57,Rothamsted,Metopolophium dirhodum,18,1994,1,365
58,Rothamsted,Metopolophium dirhodum,19,1994,1,365
59,Rothamsted,Metopolophium dirhodum,21,1994,2,365
60,Rothamsted,Metopolophium dirhodum,22,1994,1,365
61,Rothamsted,Metopolophium dirhodum,23,1994,23,365
62,Rothamsted,Metopolophium dirhodum,24,1994,24,365
63,Rothamsted,Metopolophium dirhodum,25,1994,126,365
64,Rothamsted,Metopolophium dirhodum,26,1994,803,365
65,Rothamsted,Metopolophium dirhodum,27,1994,73,365
66,Rothamsted,Metopolophium dirhodum,28,1994,466,365
67,Rothamsted,Metopolophium dirhodum,29,1994,1046,365
68,Rothamsted,Metopolophium dirhodum,30,1994,16,365
69,Rothamsted,Metopolophium dirhodum,41,1994,1,365
70,Rothamsted,Metopolophium dirhodum,18,1995,7,365
71,Rothamsted,Metopolophium dirhodum,20,1995,4,365
72,Rothamsted,Metopolophium dirhodum,21,1995,7,365
73,Rothamsted,Metopolophium dirhodum,22,1995,2,365
74,Rothamsted,Metopolophium dirhodum,23,1995,6,365
75,Rothamsted,Metopolophium dirhodum,24,1995,7,365
76,Rothamsted,Metopolophium dirhodum,25,1995,21,365
77,Rothamsted,Metopolophium dirhodum,26,1995,112,365
78,Rothamsted,Metopolophium dirhodum,27,1995,54,365
79,Rothamsted,Metopolophium dirhodum,28,1995,6,365
80,Rothamsted,Metopolophium dirhodum,29,1995,2,365
81,Rothamsted,Metopolophium dirhodum,45,1995,1,365
82,Rothamsted,Metopolophium dirhodum,26,1996,3,366
83,Rothamsted,Metopolophium dirhodum,27,1996,8,366
84,Rothamsted,Metopolophium dirhodum,28,1996,41,366
85,Rothamsted,Metopolophium dirhodum,29,1996,298,366
86,Rothamsted,Metopolophium dirhodum,30,1996,405,366
87,Rothamsted,Metopolophium dirhodum,31,1996,244,366
88,Rothamsted,Metopolophium dirhodum,32,1996,68,366
89,Rothamsted,Metopolophium dirhodum,33,1996,34,366
90,Rothamsted,Metopolophium dirhodum,19,1997,1,365
91,Rothamsted,Metopolophium dirhodum,21,1997,2,365
92,Rothamsted,Metopolophium dirhodum,22,1997,15,365
93,Rothamsted,Metopolophium dirhodum,23,1997,123,365
94,Rothamsted,Metopolophium dirhodum,24,1997,80,365
95,Rothamsted,Metopolophium dirhodum,25,1997,111,365
96,Rothamsted,Metopolophium dirhodum,26,1997,451,365
97,Rothamsted,Metopolophium dirhodum,27,1997,1056,365
98,Rothamsted,Metopolophium dirhodum,28,1997,1886,365
99,Rothamsted,Metopolophium dirhodum,29,1997,1910,365
100,Rothamsted,Metopolophium dirhodum,30,1997,2,365
101,Rothamsted,Metopolophium dirhodum,31,1997,2,365
102,Rothamsted,Metopolophium dirhodum,39,1997,1,365
103,Rothamsted,Metopolophium dirhodum,20,1998,1,365
104,Rothamsted,Metopolophium dirhodum,21,1998,1,365
105,Rothamsted,Metopolophium dirhodum,22,1998,1,365
106,Rothamsted,Metopolophium dirhodum,23,1998,1,365
107,Rothamsted,Metopolophium dirhodum,24,1998,4,365
108,Rothamsted,Metopolophium dirhodum,25,1998,8,365
109,Rothamsted,Metopolophium dirhodum,26,1998,7,365
110,Rothamsted,Metopolophium dirhodum,27,1998,7,365
111,Rothamsted,Metopolophium dirhodum,28,1998,1,365
112,Rothamsted,Metopolophium dirhodum,29,1998,1,365
113,Rothamsted,Metopolophium dirhodum,30,1998,4,365
114,Rothamsted,Metopolophium dirhodum,31,1998,4,365
115,Rothamsted,Metopolophium dirhodum,33,1998,1,365
116,Rothamsted,Metopolophium dirhodum,13,1999,1,365
117,Rothamsted,Metopolophium dirhodum,17,1999,2,365
118,Rothamsted,Metopolophium dirhodum,18,1999,3,365
119,Rothamsted,Metopolophium dirhodum,19,1999,3,365
120,Rothamsted,Metopolophium dirhodum,20,1999,2,365
121,Rothamsted,Metopolophium dirhodum,21,1999,3,365
122,Rothamsted,Metopolophium dirhodum,22,1999,9,365
123,Rothamsted,Metopolophium dirhodum,23,1999,26,365
124,Rothamsted,Metopolophium dirhodum,24,1999,20,365
125,Rothamsted,Metopolophium dirhodum,25,1999,75,365
126,Rothamsted,Metopolophium dirhodum,26,1999,28,365
127,Rothamsted,Metopolophium dirhodum,27,1999,73,365
128,Rothamsted,Metopolophium dirhodum,28,1999,10,365
129,Rothamsted,Metopolophium dirhodum,29,1999,2,365
130,Rothamsted,Metopolophium dirhodum,30,1999,6,365
131,Rothamsted,Metopolophium dirhodum,31,1999,1,365
132,Rothamsted,Metopolophium dirhodum,41,1999,1,365
133,Rothamsted,Metopolophium dirhodum,19,2000,2,366
134,Rothamsted,Metopolophium dirhodum,23,2000,3,366
135,Rothamsted,Metopolophium dirhodum,24,2000,6,366
136,Rothamsted,Metopolophium dirhodum,25,2000,10,366
137,Rothamsted,Metopolophium dirhodum,26,2000,25,366
138,Rothamsted,Metopolophium dirhodum,27,2000,10,366
139,Rothamsted,Metopolophium dirhodum,28,2000,6,366
140,Rothamsted,Metopolophium dirhodum,29,2000,5,366
141,Rothamsted,Metopolophium dirhodum,30,2000,4,366
142,Rothamsted,Metopolophium dirhodum,32,2000,4,366
143,Rothamsted,Rhopalosiphum padi,13,1990,2,365
