#,Trap,Insect,Year,Total,Trap Operating Days
1,Rothamsted,Metopolophium dirhodum,2010,2448,365
2,Rothamsted,Metopolophium dirhodum,2011,2519,364
3,Rothamsted,Metopolophium dirhodum,2012,86,366
4,Rothamsted,Metopolophium dirhodum,2013,151,365
5,Rothamsted,Metopolophium dirhodum,2014,150,365
6,Rothamsted,Metopolophium dirhodum,2015,207,304
7,Rothamsted,Metopolophium dirhodum,2016,110,342
8,Rothamsted,Metopolophium dirhodum,2017,91,295
9,Rothamsted,Metopolophium dirhodum,2018,191,365
10,Rothamsted,Metopolophium dirhodum,2019,200,363
11,Rothamsted,Metopolophium dirhodum,2020,52,365
12,Rothamsted,Rhopalosiphum padi,2010,2040,365
13,Rothamsted,Rhopalosiphum padi,2011,4968,364
14,Rothamsted,Rhopalosiphum padi,2012,1833,366
15,Rothamsted,Rhopalosiphum padi,2013,1081,365
16,Rothamsted,Rhopalosiphum padi,2014,4315,365
17,Rothamsted,Rhopalosiphum padi,2015,762,304
18,Rothamsted,Rhopalosiphum padi,2016,927,342
19,Rothamsted,Rhopalosiphum padi,2017,660,295
20,Rothamsted,Rhopalosiphum padi,2018,3848,365
21,Rothamsted,Rhopalosiphum padi,2019,843,363
22,Rothamsted,Rhopalosiphum padi,2020,743,365
23,Rothamsted,Sitobion avenae,2010,2382,365
24,Rothamsted,Sitobion avenae,2011,5991,364
25,Rothamsted,Sitobion avenae,2012,434,366
26,Rothamsted,Sitobion avenae,2013,437,365
27,Rothamsted,Sitobion avenae,2014,384,365
28,Rothamsted,Sitobion avenae,2015,83,304
29,Rothamsted,Sitobion avenae,2016,111,342
30,Rothamsted,Sitobion avenae,2017,106,295
31,Rothamsted,Sitobion avenae,2018,264,365
32,Rothamsted,Sitobion avenae,2019,145,363
33,Rothamsted,Sitobion avenae,2020,110,365
