harvest_year,strip,section,plot,section_1926-67,fertilizer_code,cropping,year_of_wheat,previous_crop,straw_incorporation,fym_factor_level,fym_applied,fym_date,castor_meal_factor_level,castor_meal_n_applied,castor_meal_date,n_factor_level,n_timing,autumn_n_kg/ha,autumn_n_date,spring1_n_kg/ha,spring1_n_date,spring2_n_kg/ha,spring2_n_date,spring3_n_kg/ha,spring3_n_date,total_fertilizer_n_amount,p_factor_level,p_amount,p_date,k_factor_level,k_amount,k_date,na_factor_level,na_amount,na_date,mg_factor_level,mg_amount,mg_date,sow_date,harvest_date,cultivar,grain,straw,note
1968,21,0,21\0,IA,FYM N2,winter wheat,17.000,winter wheat,no,FYM,35,1967-09-18,nil,0,*,N2,mid_spring,0,*,0,*,96,1968-04-10,0,*,96,nil,0.000,*,nil,0,*,nil,0,*,nil,0.000,*,1967-12-07,1968-08-26,Cappelle Desprez,4.740,5.280,45
1968,22,0,22\0,IA,FYM,winter wheat,17.000,winter wheat,no,FYM,35,1967-09-18,nil,0,*,nil,*,0,*,0,*,0,*,0,*,0,nil,0.000,*,nil,0,*,nil,0,*,nil,0.000,*,1967-12-07,1968-08-26,Cappelle Desprez,3.930,3.490,46
1968,3,0,3\0,IA,Nil,winter wheat,17.000,winter wheat,no,nil,0,*,nil,0,*,nil,*,0,*,0,*,0,*,0,*,0,nil,0.000,*,nil,0,*,nil,0,*,nil,0.000,*,1967-12-07,1968-08-26,Cappelle Desprez,1.440,0.880,*
1968,5,0,5\0,IA,PKNaMg,winter wheat,17.000,winter wheat,no,nil,0,*,nil,0,*,nil,*,0,*,0,*,0,*,0,*,0,P,35.000,1967-09-19,K,90,1967-09-19,Na,16,1967-09-19,Mg,11.000,1967-09-19,1967-12-07,1968-08-26,Cappelle Desprez,1.810,1.410,*
1968,6,0,6\0,IA,N1PKNaMg,winter wheat,17.000,winter wheat,no,nil,0,*,nil,0,*,N1,mid_spring,0,*,0,*,48,1968-04-10,0,*,48,P,35.000,1967-09-19,K,90,1967-09-19,Na,16,1967-09-19,Mg,11.000,1967-09-19,1967-12-07,1968-08-26,Cappelle Desprez,2.640,2.320,*
1968,7,0,7\0,IA,N2PKNaMg,winter wheat,17.000,winter wheat,no,nil,0,*,nil,0,*,N2,mid_spring,0,*,0,*,96,1968-04-10,0,*,96,P,35.000,1967-09-19,K,90,1967-09-19,Na,16,1967-09-19,Mg,11.000,1967-09-19,1967-12-07,1968-08-26,Cappelle Desprez,3.700,4.190,*
1968,8,0,8\0,IA,N3PKNaMg,winter wheat,17.000,winter wheat,no,nil,0,*,nil,0,*,N3,mid_spring,0,*,0,*,144,1968-04-10,0,*,144,P,35.000,1967-09-19,K,90,1967-09-19,Na,16,1967-09-19,Mg,11.000,1967-09-19,1967-12-07,1968-08-26,Cappelle Desprez,3.690,3.900,*
1968,9,0,9\0,IA,N4PKNaMg,winter wheat,17.000,winter wheat,no,nil,0,*,nil,0,*,N4,mid_spring,0,*,0,*,192,1968-04-10,0,*,192,P,35.000,1967-09-19,K,90,1967-09-19,Na,16,1967-09-19,Mg,11.000,1967-09-19,1967-12-07,1968-08-26,Cappelle Desprez,3.780,3.610,*
1968,10,0,10\0,IA,N2,winter wheat,17.000,winter wheat,no,nil,0,*,nil,0,*,N2,mid_spring,0,*,0,*,96,1968-04-10,0,*,96,nil,0.000,*,nil,0,*,nil,0,*,nil,0.000,*,1967-12-07,1968-08-26,Cappelle Desprez,1.180,1.040,*
1968,11,0,11\0,IA,N2P,winter wheat,17.000,winter wheat,no,nil,0,*,nil,0,*,N2,mid_spring,0,*,0,*,96,1968-04-10,0,*,96,P,35.000,1967-09-19,nil,0,*,nil,0,1967-09-19,nil,0.000,1967-09-19,1967-12-07,1968-08-26,Cappelle Desprez,2.110,1.860,*
