#,Trap,Insect,Week Number,Year,Total,Trap Operating Days
1,Rothamsted,Rhopalosiphum padi,13,1990,2,365
2,Rothamsted,Rhopalosiphum padi,17,1990,17,365
3,Rothamsted,Rhopalosiphum padi,18,1990,118,365
4,Rothamsted,Rhopalosiphum padi,19,1990,39,365
5,Rothamsted,Rhopalosiphum padi,20,1990,123,365
6,Rothamsted,Rhopalosiphum padi,21,1990,65,365
7,Rothamsted,Rhopalosiphum padi,22,1990,17,365
8,Rothamsted,Rhopalosiphum padi,23,1990,2,365
9,Rothamsted,Rhopalosiphum padi,24,1990,35,365
10,Rothamsted,Rhopalosiphum padi,25,1990,1,365
11,Rothamsted,Rhopalosiphum padi,26,1990,43,365
12,Rothamsted,Rhopalosiphum padi,27,1990,4,365
13,Rothamsted,Rhopalosiphum padi,28,1990,6,365
14,Rothamsted,Rhopalosiphum padi,29,1990,12,365
15,Rothamsted,Rhopalosiphum padi,30,1990,7,365
16,Rothamsted,Rhopalosiphum padi,31,1990,22,365
17,Rothamsted,Rhopalosiphum padi,32,1990,4,365
18,Rothamsted,Rhopalosiphum padi,34,1990,13,365
19,Rothamsted,Rhopalosiphum padi,35,1990,3,365
20,Rothamsted,Rhopalosiphum padi,36,1990,6,365
21,Rothamsted,Rhopalosiphum padi,37,1990,8,365
22,Rothamsted,Rhopalosiphum padi,39,1990,11,365
23,Rothamsted,Rhopalosiphum padi,40,1990,3,365
24,Rothamsted,Rhopalosiphum padi,41,1990,48,365
25,Rothamsted,Rhopalosiphum padi,42,1990,522,365
26,Rothamsted,Rhopalosiphum padi,43,1990,75,365
27,Rothamsted,Rhopalosiphum padi,44,1990,16,365
28,Rothamsted,Rhopalosiphum padi,45,1990,28,365
29,Rothamsted,Rhopalosiphum padi,46,1990,6,365
30,Rothamsted,Rhopalosiphum padi,20,1991,3,365
31,Rothamsted,Rhopalosiphum padi,22,1991,5,365
32,Rothamsted,Rhopalosiphum padi,23,1991,1,365
33,Rothamsted,Rhopalosiphum padi,24,1991,2,365
34,Rothamsted,Rhopalosiphum padi,26,1991,314,365
35,Rothamsted,Rhopalosiphum padi,27,1991,127,365
36,Rothamsted,Rhopalosiphum padi,28,1991,26,365
37,Rothamsted,Rhopalosiphum padi,29,1991,56,365
38,Rothamsted,Rhopalosiphum padi,30,1991,48,365
39,Rothamsted,Rhopalosiphum padi,31,1991,55,365
40,Rothamsted,Rhopalosiphum padi,32,1991,83,365
41,Rothamsted,Rhopalosiphum padi,33,1991,58,365
42,Rothamsted,Rhopalosiphum padi,34,1991,15,365
43,Rothamsted,Rhopalosiphum padi,35,1991,2,365
44,Rothamsted,Rhopalosiphum padi,36,1991,150,365
45,Rothamsted,Rhopalosiphum padi,37,1991,145,365
46,Rothamsted,Rhopalosiphum padi,38,1991,103,365
47,Rothamsted,Rhopalosiphum padi,39,1991,98,365
48,Rothamsted,Rhopalosiphum padi,40,1991,575,365
49,Rothamsted,Rhopalosiphum padi,41,1991,481,365
50,Rothamsted,Rhopalosiphum padi,42,1991,203,365
51,Rothamsted,Rhopalosiphum padi,43,1991,125,365
52,Rothamsted,Rhopalosiphum padi,44,1991,4,365
53,Rothamsted,Rhopalosiphum padi,45,1991,1,365
54,Rothamsted,Rhopalosiphum padi,46,1991,2,365
55,Rothamsted,Rhopalosiphum padi,47,1991,1,365
56,Rothamsted,Rhopalosiphum padi,18,1992,1,366
57,Rothamsted,Rhopalosiphum padi,19,1992,5,366
58,Rothamsted,Rhopalosiphum padi,20,1992,8,366
59,Rothamsted,Rhopalosiphum padi,21,1992,7,366
60,Rothamsted,Rhopalosiphum padi,22,1992,1,366
61,Rothamsted,Rhopalosiphum padi,23,1992,4,366
62,Rothamsted,Rhopalosiphum padi,24,1992,8,366
63,Rothamsted,Rhopalosiphum padi,25,1992,123,366
64,Rothamsted,Rhopalosiphum padi,26,1992,181,366
65,Rothamsted,Rhopalosiphum padi,27,1992,82,366
66,Rothamsted,Rhopalosiphum padi,28,1992,32,366
67,Rothamsted,Rhopalosiphum padi,29,1992,26,366
68,Rothamsted,Rhopalosiphum padi,30,1992,32,366
69,Rothamsted,Rhopalosiphum padi,31,1992,19,366
70,Rothamsted,Rhopalosiphum padi,32,1992,10,366
71,Rothamsted,Rhopalosiphum padi,33,1992,12,366
72,Rothamsted,Rhopalosiphum padi,34,1992,3,366
73,Rothamsted,Rhopalosiphum padi,35,1992,10,366
74,Rothamsted,Rhopalosiphum padi,36,1992,26,366
75,Rothamsted,Rhopalosiphum padi,37,1992,623,366
76,Rothamsted,Rhopalosiphum padi,38,1992,1606,366
77,Rothamsted,Rhopalosiphum padi,39,1992,1201,366
78,Rothamsted,Rhopalosiphum padi,40,1992,136,366
79,Rothamsted,Rhopalosiphum padi,41,1992,155,366
80,Rothamsted,Rhopalosiphum padi,42,1992,80,366
81,Rothamsted,Rhopalosiphum padi,43,1992,16,366
82,Rothamsted,Rhopalosiphum padi,44,1992,6,366
83,Rothamsted,Rhopalosiphum padi,46,1992,1,366
84,Rothamsted,Rhopalosiphum padi,48,1992,1,366
85,Rothamsted,Rhopalosiphum padi,17,1993,3,365
86,Rothamsted,Rhopalosiphum padi,18,1993,2,365
87,Rothamsted,Rhopalosiphum padi,19,1993,6,365
88,Rothamsted,Rhopalosiphum padi,20,1993,5,365
89,Rothamsted,Rhopalosiphum padi,21,1993,5,365
90,Rothamsted,Rhopalosiphum padi,22,1993,18,365
91,Rothamsted,Rhopalosiphum padi,23,1993,21,365
92,Rothamsted,Rhopalosiphum padi,24,1993,5,365
93,Rothamsted,Rhopalosiphum padi,25,1993,24,365
94,Rothamsted,Rhopalosiphum padi,26,1993,69,365
95,Rothamsted,Rhopalosiphum padi,27,1993,30,365
96,Rothamsted,Rhopalosiphum padi,28,1993,57,365
97,Rothamsted,Rhopalosiphum padi,29,1993,175,365
98,Rothamsted,Rhopalosiphum padi,30,1993,96,365
99,Rothamsted,Rhopalosiphum padi,31,1993,184,365
100,Rothamsted,Rhopalosiphum padi,32,1993,104,365
101,Rothamsted,Rhopalosiphum padi,33,1993,70,365
