Trap,Insect,year,month,Total,Trap Operating Days
Rothamsted,Rhopalosiphum padi,1990,4,19,730
Rothamsted,Rhopalosiphum padi,1990,5,345,1460
Rothamsted,Rhopalosiphum padi,1990,6,55,1460
Rothamsted,Rhopalosiphum padi,1990,7,72,1825
Rothamsted,Rhopalosiphum padi,1990,8,39,1095
Rothamsted,Rhopalosiphum padi,1990,9,17,1095
Rothamsted,Rhopalosiphum padi,1990,10,659,1825
Rothamsted,Rhopalosiphum padi,1990,11,50,1095
Rothamsted,Rhopalosiphum padi,1991,5,3,365
Rothamsted,Rhopalosiphum padi,1991,6,8,1095
Rothamsted,Rhopalosiphum padi,1991,7,571,1825
Rothamsted,Rhopalosiphum padi,1991,8,211,1460
Rothamsted,Rhopalosiphum padi,1991,9,498,1825
Rothamsted,Rhopalosiphum padi,1991,10,1384,1460
Rothamsted,Rhopalosiphum padi,1991,11,8,1460
Rothamsted,Rhopalosiphum padi,1992,5,21,1464
Rothamsted,Rhopalosiphum padi,1992,6,317,1830
Rothamsted,Rhopalosiphum padi,1992,7,172,1464
Rothamsted,Rhopalosiphum padi,1992,8,54,1830
Rothamsted,Rhopalosiphum padi,1992,9,3456,1464
Rothamsted,Rhopalosiphum padi,1992,10,387,1464
Rothamsted,Rhopalosiphum padi,1992,11,8,1098
Rothamsted,Rhopalosiphum padi,1993,4,3,365
Rothamsted,Rhopalosiphum padi,1993,5,36,1825
Rothamsted,Rhopalosiphum padi,1993,6,119,1460
Rothamsted,Rhopalosiphum padi,1993,7,358,1460
Rothamsted,Rhopalosiphum padi,1993,8,504,1825
Rothamsted,Rhopalosiphum padi,1993,9,164,1460
Rothamsted,Rhopalosiphum padi,1993,10,144,1460
Rothamsted,Rhopalosiphum padi,1993,11,21,365
Rothamsted,Rhopalosiphum padi,1994,5,6,1095
Rothamsted,Rhopalosiphum padi,1994,6,323,1460
Rothamsted,Rhopalosiphum padi,1994,7,1883,1460
Rothamsted,Rhopalosiphum padi,1994,8,20,1825
Rothamsted,Rhopalosiphum padi,1994,9,671,1460
Rothamsted,Rhopalosiphum padi,1994,10,1429,1825
Rothamsted,Rhopalosiphum padi,1994,11,44,1460
Rothamsted,Rhopalosiphum padi,1995,4,5,1095
Rothamsted,Rhopalosiphum padi,1995,5,201,1460
Rothamsted,Rhopalosiphum padi,1995,6,205,1460
Rothamsted,Rhopalosiphum padi,1995,7,210,1825
Rothamsted,Rhopalosiphum padi,1995,8,31,1095
Rothamsted,Rhopalosiphum padi,1995,9,17,1095
Rothamsted,Rhopalosiphum padi,1995,10,143,1825
Rothamsted,Rhopalosiphum padi,1995,11,8,1460
Rothamsted,Rhopalosiphum padi,1996,6,5,732
Rothamsted,Rhopalosiphum padi,1996,7,350,1098
Rothamsted,Rhopalosiphum padi,1996,8,208,1464
Rothamsted,Rhopalosiphum padi,1996,9,128,1830
Rothamsted,Rhopalosiphum padi,1996,10,1430,1464
Rothamsted,Rhopalosiphum padi,1996,11,48,1098
Rothamsted,Rhopalosiphum padi,1997,4,6,730
Rothamsted,Rhopalosiphum padi,1997,5,13,1095
Rothamsted,Rhopalosiphum padi,1997,6,37,1825
Rothamsted,Rhopalosiphum padi,1997,7,1884,1460
Rothamsted,Rhopalosiphum padi,1997,8,133,1460
Rothamsted,Rhopalosiphum padi,1997,9,756,1825
Rothamsted,Rhopalosiphum padi,1997,10,1794,1460
Rothamsted,Rhopalosiphum padi,1997,11,97,1460
Rothamsted,Rhopalosiphum padi,1998,4,2,730
Rothamsted,Rhopalosiphum padi,1998,5,59,1460
