year,month,monthly_air_temp
1878,1,4.285483870967742
1879,1,-1.1661290322580644
1880,1,0.26451612903225813
1881,1,-0.9431034482758622
1882,1,4.2129032258064525
1883,1,4.377419354838709
1884,1,6.23448275862069
1885,1,2.014516129032258
1886,1,0.45967741935483847
1887,1,0.9580645161290321
1888,1,2.6564516129032256
1889,1,1.9096774193548385
1890,1,5.342592592592593
1891,1,0.5306451612903224
1892,1,1.2193548387096775
1893,1,1.3596774193548389
1894,1,2.564516129032258
1895,1,-0.058064516129032025
1896,1,4.0596774193548395
1897,1,1.1193548387096777
1898,1,5.3903225806451625
1899,1,5.077419354838708
1900,1,3.5983870967741938
1901,1,2.737096774193548
1902,1,4.225806451612902
1903,1,3.679032258064516
1904,1,3.114516129032258
1905,1,2.999999999999999
1906,1,5.014516129032257
1907,1,2.7467741935483874
1908,1,1.3387096774193548
1909,1,2.9725806451612904
1910,1,3.559677419354839
1911,1,2.80483870967742
1912,1,3.4370967741935474
1913,1,4.264516129032258
1914,1,2.6612903225806455
1915,1,3.377419354838709
1916,1,6.242857142857143
1917,1,0.5080645161290321
1918,1,2.825806451612903
1919,1,2.2354838709677423
1920,1,4.493548387096773
1921,1,6.846774193548387
1922,1,3.311290322580645
1923,1,4.583870967741936
1924,1,3.9064516129032256
1925,1,4.235483870967743
1926,1,3.353225806451613
1927,1,3.6370967741935485
1928,1,4.09516129032258
1929,1,0.5161290322580645
1930,1,5.069354838709677
1931,1,2.883870967741935
1932,1,5.1822580645161285
1933,1,1.5774193548387094
1934,1,3.093548387096774
1935,1,3.9419354838709673
1936,1,3.37258064516129
1937,1,4.409677419354838
1938,1,4.912903225806453
1939,1,3.89032258064516
1940,1,-1.953225806451613
1941,1,0.20161290322580647
1942,1,-0.2338709677419356
1943,1,4.453225806451612
1944,1,4.911290322580646
1945,1,-0.34838709677419344
1946,1,2.5741935483870972
1947,1,1.0951612903225807
1948,1,5.183870967741934
1949,1,4.60483870967742
1950,1,3.5548387096774188
1951,1,3.425806451612903
1952,1,2.582258064516129
1953,1,2.683870967741936
1954,1,2.1838709677419357
1955,1,1.7774193548387098
1956,1,3.0693548387096774
1957,1,4.90483870967742
1958,1,3.2306451612903224
1959,1,0.9080645161290322
1960,1,3.3016129032258066
1961,1,3.0096774193548392
1962,1,3.59516129032258
1963,1,-3.361290322580646
1964,1,1.993548387096774
1965,1,2.8967741935483864
1966,1,1.7370967741935486
1967,1,3.8419354838709685
1968,1,3.2516129032258063
1969,1,5.108064516129032
1970,1,3.15
1971,1,3.7499999999999996
1972,1,3.1032258064516123
1973,1,3.751612903225806
1974,1,5.427419354838711
1975,1,6.187096774193547
1976,1,4.896774193548386
1977,1,2.3532258064516127
1978,1,2.3903225806451607
1979,1,-1.288709677419355
1980,1,1.7548387096774192
1981,1,4.012903225806451
1982,1,2.2064516129032254
1983,1,5.962903225806452
1984,1,3.298387096774193
1985,1,0.0016129032258063026
1986,1,2.896774193548387
1987,1,-0.01935483870967762
1988,1,4.7548387096774185
1989,1,5.225806451612901
1990,1,5.84516129032258
1991,1,3.0564516129032264
1992,1,3.616129032258064
1993,1,5.7306451612903215
1994,1,4.859677419354839
1995,1,4.387096774193547
1996,1,3.859677419354839
1997,1,1.67741935483871
1998,1,4.725806451612903
1999,1,5.141935483870967
2000,1,4.445161290322581
2001,1,3.02741935483871
2002,1,5.3661290322580655
2003,1,3.8870967741935485
2004,1,4.656451612903224
2005,1,5.396774193548385
2006,1,3.9967741935483874
2007,1,6.758064516129032
2008,1,6.358064516129033
2009,1,2.2112903225806444
2010,1,1.1767096774193548
2011,1,3.808435483870968
2012,1,5.456258064516129
2013,1,2.709177419354839
2014,1,5.695209677419354
2015,1,4.172838709677419
