year,month,monthly_rainfall
1853,1,
1854,1,41.800000000000004
1855,1,8.1
1856,1,56.00000000000001
1857,1,77.89999999999999
1858,1,19.2
1859,1,24.000000000000004
1860,1,78.5
1861,1,14.700000000000003
1862,1,38.8
1863,1,92.1
1864,1,28.999999999999996
1865,1,72.9
1866,1,92.10000000000001
1867,1,56.5
1868,1,92.8
1869,1,81.8
1870,1,38.60000000000001
1871,1,35.49999999999999
1872,1,114.5
1873,1,89.7
1874,1,49.6
1875,1,101.40000000000002
1876,1,45.99999999999999
1877,1,126.60000000000001
1878,1,44.50000000000001
1879,1,72.4
1880,1,14.03
1881,1,28.529999999999998
1882,1,39.34
1883,1,83.3
1884,1,64.68
1885,1,74.66000000000001
1886,1,71.09
1887,1,55.95999999999999
1888,1,20.660000000000004
1889,1,30.149999999999995
1890,1,74.58999999999999
1891,1,53.93000000000001
1892,1,21.6
1893,1,48.620000000000005
1894,1,57.43999999999998
1895,1,53.65
1896,1,26.999999999999993
1897,1,46.76000000000001
1898,1,19.26
1899,1,70.99
1900,1,89.97
1901,1,25.88
1902,1,19.700000000000003
1903,1,63.72
1904,1,87.06
1905,1,32.80999999999999
1906,1,102.56
1907,1,31.39
1908,1,37.690000000000026
1909,1,22.04
1910,1,50.519999999999996
1911,1,32.22
1912,1,94.95999999999998
1913,1,80.35
1914,1,21.33
1915,1,96.10000000000001
1916,1,49.00000000000001
1917,1,40.1
1918,1,65.20000000000003
1919,1,98.2
1920,1,73.1
1921,1,58.1
1922,1,73.09999999999998
1923,1,36.1
1924,1,68.10000000000001
1925,1,48.7
1926,1,85.50000000000001
1927,1,54.999999999999986
1928,1,93.79999999999998
1929,1,38.900000000000006
1930,1,77.8
1931,1,39.89999999999999
1932,1,47.9
1933,1,47.0
1934,1,49.20000000000001
1935,1,21.199999999999996
1936,1,98.5
1937,1,108.60000000000002
1938,1,78.3
1939,1,126.89999999999998
1940,1,86.0
1941,1,54.300000000000004
1942,1,70.20000000000002
1943,1,115.30000000000001
1944,1,37.7
1945,1,45.9
1946,1,61.599999999999994
1947,1,37.39999999999999
1948,1,127.5
1949,1,37.699999999999996
1950,1,24.7
1951,1,85.60000000000001
1952,1,45.60000000000001
1953,1,29.1
1954,1,27.599999999999998
1955,1,66.39999999999999
1956,1,114.00000000000001
1957,1,33.3
1958,1,70.19999999999999
1959,1,80.6
1960,1,67.6
1961,1,70.8
1962,1,99.59999999999998
1963,1,29.900000000000006
1964,1,23.400000000000002
1965,1,57.999999999999986
1966,1,32.7
1967,1,47.6
1968,1,62.39999999999998
1969,1,72.39999999999998
1970,1,75.49999999999997
1971,1,86.39999999999999
1972,1,84.79999999999998
1973,1,21.000000000000004
1974,1,91.89999999999996
1975,1,98.39999999999999
1976,1,27.400000000000002
1977,1,73.70000000000003
1978,1,103.5
1979,1,75.89999999999998
1980,1,32.9
1981,1,40.900000000000006
1982,1,57.40000000000001
1983,1,68.70000000000002
1984,1,96.29999999999998
1985,1,58.1
1986,1,85.2
1987,1,15.299999999999999
1988,1,136.70000000000002
1989,1,38.9
1990,1,96.5
1991,1,82.99999999999997
1992,1,24.600000000000005
1993,1,89.5
1994,1,103.00000000000001
1995,1,127.8
1996,1,52.400000000000006
1997,1,12.8
1998,1,69.90000000000002
1999,1,111.39999999999998
2000,1,25.400000000000006
