Year,month,sun_hr
1891,1,82.0
1891,2,99.60000000000002
1891,3,99.8
1891,4,109.69999999999997
1891,5,160.70000000000002
1891,6,183.0
1891,7,162.0
1891,8,147.49999999999997
1891,9,160.50000000000003
1891,10,130.5
1891,11,40.199999999999996
1891,12,48.5
1892,1,46.7
1892,2,58.199999999999996
1892,3,118.1
1892,4,222.7
1892,5,199.99999999999997
1892,6,225.09999999999997
1892,7,186.4
1892,8,195.39999999999998
1892,9,126.79999999999998
1892,10,98.50000000000001
1892,11,36.7
1892,12,52.6
1893,1,38.4
1893,2,67.3
1893,3,197.50000000000006
1893,4,270.1
1893,5,215.99999999999997
1893,6,224.0
1893,7,186.19999999999996
1893,8,223.49999999999997
1893,9,158.9
1893,10,149.0
1893,11,51.5
1893,12,57.99999999999999
1894,1,52.7
1894,2,96.7
1894,3,189.7
1894,4,145.20000000000002
1894,5,173.20000000000002
1894,6,152.89999999999998
1894,7,169.60000000000002
1894,8,75.8
1894,9,32.6
1894,10,58.99999999999999
1894,11,76.9
1894,12,53.1
1895,1,40.4
1895,2,91.70000000000002
1895,3,97.3
1895,4,136.60000000000002
1895,5,249.3
1895,6,211.19999999999996
1895,7,179.70000000000002
1895,8,213.3
1895,9,228.7
1895,10,84.8
1895,11,49.7
1895,12,37.5
1896,1,40.800000000000004
1896,2,70.60000000000001
1896,3,79.3
1896,4,146.20000000000002
1896,5,208.70000000000002
1896,6,200.0
1896,7,203.0
1896,8,134.2
1896,9,91.9
1896,10,103.10000000000001
1896,11,88.89999999999999
1896,12,29.7
1897,1,36.8
1897,2,39.4
1897,3,123.90000000000002
1897,4,135.7
1897,5,239.99999999999997
1897,6,171.10000000000005
1897,7,258.20000000000005
1897,8,206.5
1897,9,136.5
1897,10,118.39999999999999
1897,11,43.2
1897,12,50.7
1898,1,23.099999999999998
1898,2,76.6
1898,3,86.39999999999998
1898,4,129.60000000000002
1898,5,123.69999999999997
1898,6,147.4
1898,7,214.3
1898,8,213.29999999999998
1898,9,206.29999999999998
1898,10,81.99999999999999
1898,11,68.60000000000001
1898,12,52.5
